training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-7.574606,7.574606,0.055774435,1.0,0.4661027,5.422193,-5.415514,0.013534723,0.0757191,0.9882266,0.04383876,0.01397311,0.05339512,-0.060618095,1.6499236,-7.6822786,7.6822786,0.0826926,1.0,0.4123632,4.8407273,-4.7095914,0.009668138,0.06791234,0.98914254,0.04436423,0.01011178,0.0036593020915985106,984.0697016716003,255000
-7.565139,7.565139,0.053407714,1.0,0.45370287,4.511182,-4.3487253,0.013458222,0.06895459,0.9867656,0.040253554,0.013860757,0.067033805,-0.07746771,1.6245115,-7.674653,7.674653,0.08078621,1.0,0.45966113,4.8407273,-4.5973196,0.011293624,0.06271236,0.9884062,0.040669076,0.0117003145,0.0036571155548095705,1002.3552854061127,260000
-7.5506115,7.5506115,0.049775835,1.0,0.4184398,4.5090733,-4.184314,0.017321233,0.072126746,0.9863781,0.04590265,0.01778026,0.059722938,-0.045557503,1.606914,-7.743241,7.743241,0.09793315,1.0,0.4350552,4.254581,-4.4057555,0.018413447,0.07559925,0.98505294,0.045911588,0.018872563,0.0036964536666870117,1020.8375594615936,265000
-7.58599,7.58599,0.058620356,1.0,0.3913293,4.037402,-4.358834,0.013624098,0.07082184,0.98710674,0.042067632,0.014044775,0.07418291,-0.07752892,1.6648853,-7.7586193,7.7586193,0.1017777,1.0,0.48491278,4.4440007,-4.7095914,0.016844247,0.076841116,0.9876448,0.04252562,0.017269503,0.0036511985778808595,1039.0935575962067,270000
-7.5698624,7.5698624,0.0545886,1.0,0.4246992,4.085779,-4.5762644,0.011124561,0.06822706,0.98807293,0.044550367,0.011570064,0.07021068,-0.058440465,1.7140343,-7.7631297,7.7631297,0.10290545,1.0,0.40599096,4.622328,-4.5012174,0.012546987,0.058682017,0.98821473,0.045537695,0.013002364,0.0036714862823486326,1057.4509944915771,275000
-7.550046,7.550046,0.04963439,1.0,0.41239488,3.9219131,-4.3001175,0.010909698,0.07791962,0.98662674,0.047788247,0.01138758,0.07253141,-0.03690836,1.4863454,-7.756827,7.756827,0.10132964,1.0,0.41490018,4.8407273,-4.5826817,0.013717495,0.06198111,0.9875404,0.049263887,0.014210134,0.0036501379489898684,1075.7016894817352,280000
-7.546192,7.546192,0.04867099,1.0,0.44286847,4.4943175,-4.282185,0.013460912,0.072938725,0.9871348,0.04712855,0.013932197,0.05087115,-0.055811588,1.4080775,-7.7346005,7.7346005,0.095773034,1.0,0.3610456,4.6219897,-4.1601753,0.017338024,0.083567634,0.98677653,0.046747927,0.017805504,0.0036377004623413087,1093.890197277069,285000
-7.5716457,7.5716457,0.055034418,1.0,0.39546072,4.319065,-4.3487253,0.012203841,0.06783308,0.98925483,0.03811936,0.012585035,0.04658556,-0.05211236,1.6992588,-7.66365,7.66365,0.0780355,1.0,0.44989038,4.75255,-4.7095914,0.0125766285,0.05780879,0.9867883,0.037134066,0.012947969,0.0036872684955596923,1112.3265459537506,290000
-7.54207,7.54207,0.04764047,1.0,0.40897378,4.062389,-4.3487253,0.0155593855,0.073423386,0.9850073,0.044211723,0.016001502,0.08258832,-0.076139994,1.3924325,-7.7736406,7.7736406,0.10553326,1.0,0.3983014,4.497702,-4.664976,0.017797718,0.06958079,0.9887536,0.043892328,0.01823664,0.0037180306911468505,1130.9167048931122,295000
-7.5564585,7.5564585,0.051237613,1.0,0.46565497,4.511182,-4.3487253,0.009603044,0.060901083,0.9887265,0.041316763,0.010016211,0.0941565,-0.076113164,1.5062793,-7.6976895,7.6976895,0.08654531,1.0,0.4463387,4.446932,-4.443698,0.013346949,0.060437918,0.98808825,0.04068852,0.013753834,0.003673977708816528,1149.2865991592407,300000
